text,translation,source,src,target,source_id_or_reference
Solo hay una clase.,Sayoj se taman.,Una tortillita nomás - Se taxkaltsin saj,es,nah,11
No te enriquezcas con dinero mal habido.,"Amo ximotomintema, intla amo cualyotica tictlani.",Método auto-didáctico náhuatl-español,es,nah,12
"Sirve para comerse, se tuesta en el comal.","Kuali se kikua, maj se kiteuatsa itech komal.",Una tortillita nomás - Se taxkaltsin saj,es,nah,13
"Hay por Kalikan, Texayakatitan, en el monte, en el cafetal y no lo cortan porque su fruto se come.","Mochiua ne Kalikampa, Texayakatitan, kuoujtaj, kajfentaj uan amo kiteximaj, por in se kikua itakka.",Una tortillita nomás - Se taxkaltsin saj,es,nah,14
"6 Tochtli, 1602.","VI Tochtli xihuitl, 1602 años.",Diario,es,nah,15
"Se cortan en trozos medianos los hongos, muy limpiecitos; al epazote se le cortan las hojitas, y todo esto se pone sobre un comal a fuego bajo, con sal al gusto y las venas o los chiles. Se tapan con una cazuelita hasta que estén cocidos. Comúnmente se comen en tacos.","In nanacatl cualli mochipahua ihuan motetequi, in ahmo huey in tlatetectli; in yepazohtli mocuihcuilia in iatlapalton ihuan mochinin motlalia comalpa, in ahmo huel totonqui, motlalilia in iztatl ixquich in monequiz ihuan in chilcuitlaxcolli ahnozo chiltlaixtlapantli; motlapachoa ica zoquicaxitl ixquichcauh in ye tlahuicxitilli. Achiuhqui muchipa motlaxcaltlapiccua.",Recetario Nahua de Milpa Alta D.F,es,nah,16
"En este año vinieron a Mexico Tenochtitlan los guardianes de las trojes de Amaquemecan para hablar con el tlacateuctli Itzcohuatzin, cuando éste no era aún tlatohuani sino sólo tlatocapilli en Mexico; el tlatohuani era Huitzilíhuitl Segundo, y su teuctlato era el tlacochcálcatl Cuatlecóhuatl.","Nican ypan in in ya huitze yn Mexico Tenochtitlan yn cuezconpiaya yn Amaquemecan quinonotzaco yn tlacateuhctli yn Itzcohuatzin, yn iquac yn ayemo tlahtohuani ca çan oc tlahtocapilli y nican Mexico; auh ca yehuatl tlahtocati yn Huitzillihuitl yn teomeca yn iuhqui ytoca yn, auh ytlan teuhctlahtohua yn Quatlecohuatl tlacochcalcati.",Tercera Relación (Libro las ocho relaciones),es,nah,17
"Mochiua kampa se kitoka, kemej yon milaj.","Se da donde se siembra, como en las milpas.",Una tortillita nomás - Se taxkaltsin saj,es,nah,18
"Por ser todavía muy niño, a Cohuazacatzin no lo ataviaron con las insignias señoriales; pero a la señora Tlacocihuatzin, que era la madre de Cohuazacatzin, sí la ataviaron señorialmente: le pusieron el tocado señorial y el xiuhhuitzolli, y le dieron las demás insignias distintivas del señorío.","Auh in yehuatl yn Cohuaçacatzin ca occenca piltzintli yn iquac, ayamo yehuatl quichichiuhque; çan yehuatl quichichiuhque yn cihuapilli yn inantzin yn Cohuaçacatzin, ytoca yn cihuapilli Tlacocihuatzin, contlallilique yn teuhctzontli yhuan yn xihuitzolli yhuan yn ixquichtlamantli tlahtocayotl conmamacaque yn cihuapilli.",Tercera Relación (Libro las ocho relaciones),es,nah,19
"Después de que Cuacuauhpitzáhuac se asentó como tlatoani, los mexicas vencieron a los chimalhuacas.","Yn oyuh omotlali yntlatocauh Quaquauhtzi, yn oquimopeuh chimalhuaca.",Anales de Tlatelolco,es,nah,20
"Y esto sabe y es la verdad para el juramento que hizo en lo qual se afirmó y ratificó y dixo es de hedad de ochenta años y rogue al escrivano lo firmase por mí porque no se escrevir. Don Gaspar de Mendoza, Pedro Daniel. Ante mí Francisco Millan, escrivano.",Oquito yn testigo ca uel melaoac ynic onoconan juramento ynic onitlatolmelauh yn ye ninemi tlalticpac ye napoalxiuitl auh ynic nicneltilia notlatol zan onictlatlauhti in escribano nopampa quitlalia notoca yoan nofirma ypampa amo nicmati nitlacuiloz don Gaspar de Mendoza Pedro Daniel nixpan Francisco Millan escrivano.,Documentos nauas de la Ciudad de México del siglo XVI,es,nah,21
"El capitán español salió precipitadamente de México, para combatir en Veracruz al recién llegado.",Caxtilyacanqui zan niman oquiztihuetz in ihuicpa MexicoTenochtitlan; oya Chalchiuhcuecan quicalito tlacatl in yancuican acic.,Historia de México narrada en náhuatl y español,es,nah,22
Usos:,Kualtia:,Una tortillita nomás - Se taxkaltsin saj,es,nah,23
la yuca(chakaykuoujkamoj) y el guacamote blanco (istakkuoujkamoj).,in chakaykuoujkamoj uan istakkuoujkamoj.,Una tortillita nomás - Se taxkaltsin saj,es,nah,24
La sirvienta puso cuatro cubiertos sobre la mesa.,In cihuatequipano oquintlalli nahui tlatecontin ipan ahcopechtli.,Método auto-didáctico náhuatl-español,es,nah,25
"En 12 pedernal, se fueron los mexicas a Tecpayocan.","Ipan matlactli omome tecpatl xihuitl, oyaque mexicah Tecpayocan.",Historia de México narrada en náhuatl y español,es,nah,26
"Los sabedores de discursos, es de ellos obligación, se ocupan día y noche de poner el copal, de su ofrecimiento, de las espinas para sangrarse.","In tlatolmatinime, auh in intequiuh in quimocuitlauia in copaltemaliztli, in tlenamaquiliztli, in huitztli, in acxoyatl, in necoliztlili.",La tinta negra y roja (antología de poesía náhuatl),es,nah,27
Si vendiese la casa ya no tendría ninguna propiedad.,"Tla nicnamacazquia in callí, ayocmo tlen nohuaxca nicpiazquia.",Método auto-didáctico náhuatl-español,es,nah,28
"Habiendo salido, los españoles se detuvieron en Acueco; prosiguieron adelante y se detuvieron en Teocalhueyacan; partieron con rumbo a Zoltépec; partieron y se detuvieron en Tepotzotlan; partieron y se detuvieron en Citlaltépec; se pusieron en marcha y se detuvieron en Temazcalapan, donde los recibieron bien y les dieron guajolotes, huevos y maíz, y donde tomaron algún respiro.","Yn oonehuaque motlalito Acueco; quimopeuito omotlalito Teucalhuiaca; onehoaque Çoltepec; onehuaque unca motlalito Tepotzotla; onehuaque omotlalito Citlaltepec; onehoaque motlalito Temazcalapa, unca namicoque macoque totolli totoltetl tlaolli, uncan yyocuitiloque.",Anales de Tlatelolco,es,nah,29
Es quelite (kilit).,In kilit.,Una tortillita nomás - Se taxkaltsin saj,es,nah,30
Venas de chile,Chilcuitlaxcolli,Recetario Nahua de Milpa Alta D.F,es,nah,31
"Han pasado 77 años desde que, en el año 1 Técpatl, 1532, se instaló como cuauhtlato don Pablo Xochiquentzin; entonces, a los tres años, regresaron a México los que habían ido a Teocolhuacan.","Auh yhuan ya yepohualxihuitl ypan caxtollomome xihuitl yn ipan 1 Tecpatl xihuitl, 1532 años, yn omotlalli yn oquauhtlahto yn don Pablo Xochiquentzin; yquac axihuaco Mexico ya yexiuhtica ynic ompa huillohuaya Teoculhuacan.",Diario,es,nah,32
Se da en el monte y en el cafetal.,Mochiua kuoujtaj uan kajfentaj.,Una tortillita nomás - Se taxkaltsin saj,es,nah,33
por medio del acueducto es su descenso.,tlacoapan a itemoya.,La tinta negra y roja (antología de poesía náhuatl),es,nah,34
"77.	Hijo mío, date ánimo. Quizás aquí poco tiempo, un día, estás esperando su piedra, su palo, su enfermedad y pestilencia del Señor Nuestro. En su agua, en su cerro andas derramando el llanto, las lágrimas, un día, dos días. No con tranquilidad, no con alegría vienes a levantarte, vienes a despertar; no con tranquilidad, no apaciblemente haces el sueño, el reposo; con el favor de alguien, al lado de alguien tu cabecera sólo está repleta de tu calzado estropeado, de tu bordón, y de tu huacal, tu tortilla doblada, tu coa, tu utensilio para cargar, con lo cual te elevó, te honró el Señor Nuestro. Eres águila, eres ocelote; es tu dádiva, es tu merecimiento. Eres animoso, eres el cantor de la gente. Con el adobe, el amasijo, la angarilla, el bordón, la coa, el utensilio para cargar, ayudas al agua, al cerro, a la estera, al sitial, con ello educas a los hombres, los instruyes, con ello bien junto a la gente, a su lado estás sentado. Ojalá bien a su lado te coloques tu angarilla, tu bordón, tu coa, tus enseres para cargar.","77.	Nopiltzine, ma ximehuititie, at oncanin in cuelachitzinca, in cemilhuitzin in ticmochielitica in itetzin, in iquauhtzin, in itemotzin, in iehecatzin in Totecuiyo. In ipan iatzin, itepetzin in tocommomatemilitinemi in choquiztli, in ixayotzintli, in cemilhuitl, in ce yohual. In aihuiyan, in ahicemele, in tihualmehua, in tihualiza; ahmo ihuiyan, ahmo icemele, in cochiztli in netequiztli in ticmuchihuilia. In tepaltzinco, in tenahuactzinco, in zan motzontlantzinco temi immocaczoltzin, immotopiltzin auh immohuacaltzin, immotlamatzohualtzin, immohuictzin, immomecapaltzin, inic omitztenyoti, inic omitzmahuizzoti in Totecuiyo. In tiquauhtli, in tocelotl; immolhuil, immomacehual. In titiacauh, in titecuicauh. In xamitl, impololli, in cacaxtli, in topilli, in huictli, immecapalli inic ticmopalehuilia in atl, in tepetl, in petlatl, in ycpalli, inic titlacazcaltia, inic titlacahuapahua, inic huel tetloctzinco, tenahuactzinco timehuititica. Ma cenca itlantzinco ximaquilti immocacatzin, immotopiltzin, immohuictzin, immomecapaltzin.",Testimonios de la antigua palabra,es,nah,35
"El domingo 18 de julio de 1593 se trasladaron a San Juan de la Penitencia las señoras monjas hijas de Santa Clara; vinieron sólo cinco, y llegaron por la tarde, a las 4.","Yn ipan axcan domingo yc XVIII mani metztli de julio de 1593 años, yquac hualmohuicaque mocallaquico in Sant Juan de la Penitencia yn cihuapipiltin monjastin Sancta Clara ypilhuantzitzin; çan oc macuiltin yn hualmohuicaque, ye teotlac in mocallaquico, otzillin nahui ora.",Diario,es,nah,36
"En el dicho Tizayocan, Tlaquilxochtzin, señora de Tzompanco, dio a luz un hijo varón al que llamaron Huehue Huitzilíhuitl, cuyo padre era un mexica chichimeca.","Auh no oncan in yn omoteneuh Tiçayocan oncan quichihuaco quitlacatillico yn Tlaquilxochtzin Tzompanco cihuapilli ce yconetzin oquichtli oquitocayotique Huehue Huitzilihuitl, ynin ça ce mexica chichimeca yn ithatzin mochiuh.",Memorial Breve (Libro las ocho relaciones),es,nah,37
En la ciudad de Mexico [Tenochtitlan] en [jueves] veynte y cinco dias del mes de setiembre de mill y quinientos y ochenta y seys años ante Miguel de los Angeles alcalde[s] hordinario[s] por su magestad en esta ciudad de Mexico en audiencia (publica).,yn nican ciudad Mexico Tenochtitlan yn ipan cemilhuitl jueves cempohuali ommacuilli yn meztli de setiembre de 1586 años yn nehuatl alcalde Miguel de los Angeles justicia tictocuitlahuiya yn icatzinco su magestad audiencia.,Documentos nauas de la Ciudad de México del siglo XVI,es,nah,38
"Este quelite florea en agosto cuando ya está maduro. Lo hay sólo por temporadas, no siempre.","In xochiyoua agosto, ijuak in chikauaya, ta in por tiempo saj in onkak, amo nochipa.",Una tortillita nomás - Se taxkaltsin saj,es,nah,39
"Partieron para establecerse en Apazco, donde al segundo año erigieron un altar de tierra; murió Apanteuctli y en su lugar pusieron a Cítlal; allá se quedaron tres años.","Ualleuaque omotlalico Apazco, motlalmomoztique, ye yuh oxiuhtia; uncan mic Apantecuhtli, niman contlalique Citlal, yexiuhtique.",Anales de Tlatelolco,es,nah,40
"En este año salieron de Teocolhuacan, que está cerca de Aztlan, los antiguos chichimecas totolimpanecas, que ahora se llaman amaquemecas; cuando llevaban allá 1160 años se movieron para venir caminando hacia acá.",... yn Teocolhuacan yn inahuac Aztlan yn huehuetque chichimeca yn totollinpaneca yn axcan ye yntoca amaquemeque; ynic ompa huecahuaque ontzonxihuitl ypan caxtolpohualxixihuitl ypan yepohualxihuitl ynic niman ye huallolinque ynic hualnenenque.,Tercera Relación (Libro las ocho relaciones),es,nah,41
"8 Técpatl, 1500.","VIII Tecpatl xihuitl, 1500 años.",Tercera Relación (Libro las ocho relaciones),es,nah,42
"(E que asi mesmo sabe que ninguna persona las a tenido ny a pretendido tener abcion a ellas porque las tierras fueron o hobieran sydo de otra persona este testigo lo supiera) [Le fue dicho al testigo: -¿Cómo sabes? ¿Acaso alguien allí labraba para la mujer del Tolteca? Dijo el testigo: -Nos confunde, pues apenas hace dos años allá cayó y no sabemos como es que se hace de surcos, pues desde luego asi se que la tierra pertenece a Alixeliuhqui.] Y questa es la berdad para el juramento que thiene hecho.",Yuan ylhuiloc yn testico que ticmati cuix ica onpa otlalchiuaya yn Toltecatl yciuauh catca quito yn testigo zan techtlapololtiya ca yaquin oxihuitl yn onpa ouetzico auh amo ticmati quenin onpa mocuentiya ca za niman yuh nicmati yn tlali in itech poui yn Atlixeliuhqui ocayuiny nocomati.,Documentos nauas de la Ciudad de México del siglo XVI,es,nah,43
"El 24 de febrero de 1613, primer domingo de cuaresma y fiesta de San Matías, por la tarde, salió de México hacia la ciudad de los Ángeles Cuetlaxcohuapan el señor licenciado don Pedro de Otálora, presidente de la Audiencia Real de México, para ser allá ordenado como religioso clérigo, y asimismo para ser ordenado con la epístola y el evangelio y para decir la misa, y en dos días de esta cuaresma lo ordenó el obispo don Alonso de la Mota y Escobar; el Santo Padre había mandado que se hiciera en tres días, mas, a pesar de este mandamiento, en la domínica de Pasión se terminó la ordenación para que pudiera decir la misa.","Axcan ycce domingo quaresma, yn ic 24 mani metztli febrero de 1613 años, huel ypan ylhuitzin Sant Matía ye teotlac, ynic nican Mexico onmopehualti ynic ompa mohuica la ciudad de los Ángeles Cuitlaxcohuapan yn tlahtohuani señor el licenciado don Pedro de Otálora presidente yn Audiencia Real Mexico, ynic ompa mohuica moteochiuhtzinoz ynic teopixqui clérigo mochiuhtzinohua, yhuan yca umpa yc moteochiuhtzinoz yn epístola yhuan evangelio yhuan yn missa yc quimochihuiliz, çan oppa yc quimoteochihuiliz yn ipan in ce cuaresma yn obispo don Alonso de la Mota y Escobar; yuh quihualmonahuatilia yn Sancto Padre çan eilhuitl mochiuaz, auh macihui yn iuh catca yn nahuatilli, ca ye quin ipan domíniga yn Passión tlamico yn ineteochihualitzin ynic missa quimochihuillico.",Diario,es,nah,44
Se vende en Cuetzalan.,In monamaka ompa ne Kuesalan.,Una tortillita nomás - Se taxkaltsin saj,es,nah,45
"Dejó cinco hijos: al primero, llamado Acolnahuácatl Tzacuálcatl, lo puso a gobernar en Tlacopan; al segundo, llamado Cuacuauhpitzáhuac, lo puso a gobernar en Tlatelolco; al tercero, llamado Epcohuatzin, lo puso a gobernar en Atlacuihuayan; al cuarto, llamado Maxtlatzin, lo puso a gobernar en Coyohuacan; a la quinta, llamada Ayauhcíhuatl, la pidió por esposa Huitzilíhuitl, tlatohuani de Tenochtitlan, y fue la madre del tlatocapilli Chimalpopoca.","Auh yn quincauhtia yn ipilhuan macuiltin: yn icce ytoca Acolnahuacatl Tzacualcatl, ynin oncan quihuallatocatlalli yn Tlacopan; yn icome ytoca Quaquapitzahuac, ynin oncan quihuallatocatlalli yn Tlatillolco; yn icyey ytoca Epcohuatzin, ynin ompa contlahtocatlalli yn Atlacuihuayan; yn icnahui ytoca Maxtlatzin, ynin ompa contlahtocatlalli yn Coyohuacan; yn icmacuilli ychpoch ytoca Ayauhcihuatl, ynin conmitlani yn Huitzillihuitl yn tlahtohuani nican Tenochtitlan, yniqu iz quichihuaco yn tlahtocapilli Chimalpopoca.",Tercera Relación (Libro las ocho relaciones),es,nah,46
"4 Técpatl, 1340.","IIII Tecpatl xihuitl, 1340.",Tercera Relación (Libro las ocho relaciones),es,nah,47
"Ya no pueden comer; acaso los procuran, pero ellos tienen el corazón afligido, no más están pensando en su muerte.",aocmo uel quicua in nelli mach quincuitlahuiltia za yuh qui nentlamati in inyollo za ye quimaticate in immiquiz.,Vida económica de Tenochtitlan,es,nah,48
"Ya van, ya están preparados. Embriágate, embriágate, obra el Dios de la Dualidad el inventor de hombres, el Espejo que hace aparecer las cosas.","Ye hui, ya motlacahuani, xi huiti, xi huiti, ai Ometeotl in teyocoyani, Tezcatlanextia.",La tinta negra y roja (antología de poesía náhuatl),es,nah,49
"Tolteca: artista, discípulo, abundante, múltiple, inquieto. El verdadero artista: capaz, se adiestra, es hábil; dialoga con su corazón, encuentra las cosas con su mente.","In toltecatl: tlamachtilli, tolin, centzon, aman. In cualli toltecatl: mozcaliani, mozcalia, mihmati; moyolnonotzani, tlalnamiquini.",La tinta negra y roja (antología de poesía náhuatl),es,nah,50
Ésta le respondió: “Escúchame bien: dime a cuántos teules soldados mataste”.,"Quito: “Tla xihualauh, tla xiccaqui çan ihuiantzin: xiquito quezquintin yn otiquinmicti teteo soldatosme”.",Anales de Tlatelolco,es,nah,51
"Pero otros antiguos tlazopipiltin dicen y consignan, pues así lo dejaron pintado en sus papeles, que cuando Atonaltzin se disponía a partir hacia Cuauhnáhuac y hacia Michhuacan, aún no habían merecido tierras ni habían puesto todas sus mojoneras ambos tlatoque mencionados, a saber: Atonaltzin y Cuahuitzatzin.","Auh occequintin huehuetque tlaçopipiltin yuh quitotihui yuh quimachiyotitihui, ca yuh quicuillotihui yn imamoxtlacuilolpa, quilmach yn ihquac yazquia Quauhnahuac yhuan Michhuacan quilmach ayemo tlalmacehuaya ayemo quiquetzaya yn ixquich ynquaxoch yn imomextin omoteneuhque tlahtoque yn Atonaltzin yhuan Quahuitzatzin.",Quinta Relación (Libro las ocho relaciones),es,nah,52
Yo he visto a su hermano.,In mocnin yonicontiac.,Método auto-didáctico náhuatl-español,es,nah,53
Hay dos clases: chalahuite que se da en el monte y el que se da por acá.,Onkak ome taman: chaluij tein nikan mochiua uan tein kuoujtaj mochiua.,Una tortillita nomás - Se taxkaltsin saj,es,nah,54
nuestros.,toh.,Método auto-didáctico náhuatl-español,es,nah,55
Preparación:,Quenin mochihua:,Recetario Nahua de Milpa Alta D.F,es,nah,56
"Y sus ataderos del cabello eran cordones de hilos de muchos colores: rojo vivo, amarillo, azul, negro. Con estos cordones están entretejidas plumas blancas.","Auh in itzonnepilhuaz tlatlapalicpatl chichiltic, coztic, texotli, tliltic. Iztac ihuitl in ic tlamalinticatca.",Vida económica de Tenochtitlan,es,nah,57
"Una bebida muy tradicional de la región es el tepache, que se prepara de la siguiente manera:     Las tres pizcas de anís y las rajitas de canela se echan dentro de una bolsita de manta y se cierra bien; esto se pone dentro de un recipiente con alrededor de cinco litros de agua que debe hervir durante varios minutos; después, se muele el chile ancho, se cuela en el agua que estará hirviendo y se agrega el piloncillo. A esto se le pone unos ocho litros de pulque, y se deja enfriar para poderse beber.",In tlailii ye huehca mitihuitz ompa toaltepepan yehuatl in tepachnecuhtli in mochihua yuhquin nican mihtoa: in aniz ihuan canela tlatzicuehualli motlalia ihtic in tilmapoxacton cualli tlatzacuhtli; inin maquia ihtic in comitl ica macuilli litro atl in cuacualacaz miec minuto. Zatepan moteci in patlahuacchilli ihuan mocuacuachhuia ipan atl in ye pozontoc ihuan motlalilia piloncillo; inin moneneloa ahzo ica chicuey litro necuhtli; ma itztia ihuan ye huel miz.,Recetario Nahua de Milpa Alta D.F,es,nah,58
Le llaman así porque sus hojas son espinosas (uitsyo).,In iujki kitokaytiaj por in uitsyoj.,Una tortillita nomás - Se taxkaltsin saj,es,nah,59
"Allá donde no hay muerte,",In can ahmiccohua,Nican Mopohua,es,nah,60
En el año 3 Ácatl 1391 se enseñoreó Huitzilihuitzin en Tenochtitlan.,Yey Acatl yc motlatocatlalli Uitziliuitzi Tenochtitla.,Anales de Tlatelolco,es,nah,61
"Sí, señor. Pienso rentar una pieza. Si gusta pase a verla.",Quemahcatzin. Nicnequi cente calxelolli nictlaquehuiz. Tlatimonequitia ximopanolti ximotiliqui.,Método auto-didáctico náhuatl-español,es,nah,62
"En este año llovió mucho, y se dio bien el maíz.","Yhuan yn ipan in cenca quiyauh, yc mochiuh || 98r yn tonacayotl.",Tercera Relación (Libro las ocho relaciones),es,nah,63
Bueno. ¿Quién habla?,"Ximohtalhui, ¿Aquin tlahtohua?.",Método auto-didáctico náhuatl-español,es,nah,64
"83.	Y si causaste aflicción, no junto a la gente, al lado de las personas vivirás porque luego serás perseguido, serás echado; así harás conejos, harás venados (harás salvajes) a tu mujer, a tus hijos. En ningún lugar será tu casa, en ninguna parte el interior de tu hogar verás; de allá saldrá la miseria, lo que aflige, lo que angustia a la gente; en ningún lugar tu nopal, en parte alguna tu miel verás. Si así haces, si así vives, sólo de tu voluntad te mostrarás a lo que enferma a la gente, a lo que la aflige, a lo que la angustia; sólo de tu voluntad te meterás entre andrajos, entre bragueros estropeados; sólo de tu voluntad tomarás lo no bueno, lo no recto, la perversidad, lo que deshonra, lo que deprava, la desobediencia, la terquedad.","83.	Auh intla otitlaellelaxiti ca ahmo tetlan, tenahuac, tinemiz, ca niman titotocoz, tiquixtiloz; yc tiquintochtiliz, tiquimmazatiliz immocihuauh, immopilhuan. Acan mochan, acan mocal ihtic tiquittaz; vmpa onquizaz in ycnoyotl, in tctoneuh, in techichinatz; acan monopal, acan monecuh tiquitztiaz. Inda yuh ticchihuaz, intla yuh tinemiz, zan monehuiyan ticmottitiz in tecoco, in tetoneuh, in techichinatz; zan monehuiyan itlan timocalaquiz in tzotzomatli, immaxtlazolli; zan monehuiyan ticmocuiliz in ahmo qualli, in ahmo yectli, in tlahuelilocayotl, in teahuilquixti, in tetlahuelilocatili, in ahmo tetlacamachiliztli, in tzonteyotl.",Testimonios de la antigua palabra,es,nah,65
"Pues no quieren que envíe clérigos a asentarse por todo el arzobispado, y por eso le hacen contradicción los frailes; quién sabe cómo irá a acabar este pleito, sólo Dios nuestro señor puede saberlo, pues todavía está en curso el asunto.","Amo quinequi ynic cecen clérigos ye quinmihualiznequi nohuiyampa ypan arçobispado motlalitihui, contratición yc ye quichihua yn frayles; ach quen tzonquiçaz yn inneteylhuil, tla oc yehuatzin quimomachiltia yn totecuiyo Dios, ca oc ye nemi yn tlahtolli.",Diario,es,nah,66
".	Pues cuando daba órdenes Motecuhzoma de ir en exploración real a determinada región, los traficantes y los comerciantes encubiertos, si allá se hacía cerco sobre ellos, si iban a morir allá, ya no podían obedecer el mandato de Motecuhzoma;",".	Auh in ihcuac tlanauatiaya Moteoczomatzin in zazo campa calaquia pochteca oztomeca in teocnenemizque intla ompa impan oualmotzaoc, intla onmiquito in oacmo quiuel caquilia itlahtul Moteoczomatzin,",Vida económica de Tenochtitlan,es,nah,67
"El caudillo de éstos era Huitzilopochtli, cuidador y servidor del gran diablo Tetzauhtéotl, el cual a menudo se aparecía a Huitzilopochtli y hablaba con él; y cuando después Tetzauhtéotl lo dejó en su lugar, fue cuando tomó el nombre de HuitzilopochtlI.","Auh yn inteyacancauh ocatca yn itoca Huitzilopochtli yn hueytlacatecolopixqui ytetlaecolticauh, y huey tlacatecolotl Tetzauhteotl cenca quitlacanotzaya quimottitiaya yn Huitzilopochtli; ynic çatepan oquimixpitlati yn Tetzauhteotl ynic ça ytoca mochiuh Huitzilopochtli.",Memorial Breve (Libro las ocho relaciones),es,nah,68
Es un encanto verlas jugar alegremente alrededor de los arbustos y flores.,Cemi cuacualtzin motah ahuiliztica patlanih in yahualol cuameh ihuan xochimeh.,Método auto-didáctico náhuatl-español,es,nah,69
"De esta manera viven en su orden estos religiosos; y sepan todos que así los verán si fuere la voluntad de Dios nuestro señor que vengan acá, y mucho nos alegraremos por ello en San Antón de México en la Nueva España, mas si no fuere tal la voluntad de Dios nuestro señor, pues no vendrán.","O yhuin in y motlamaniltilia yn intlatecpanpantzinco tlaçoteopixque; ma yuh mochi tlacatl quimati ca yuh quinmottilizque intla quimonequiltitzinoz ytla itlanequiliztzin totecuiyo Dios ca hualmohuicazque, tiquihtotilizque yn nican San Antón Mexico Nueva España, auh ytlacamo ytlanequilizticatzinco mochihuaz totecuiyo Dios, ca amo huel hualmohuicazque.",Diario,es,nah,70
"En seguida, el año 7 pedernal, llegaron los mexicas a Amalinalpan, que pertenece al señorío de Azcapotzalco.","Ic niman, ipan chicome tecpatl xihuitl oacique mexitin Amalinalpan, in tlein itech pohui Azcapotzalco itlahtocayotzin.",Historia de México narrada en náhuatl y español,es,nah,71
"Después de que, en este dicho año de 1 Técpatl, 1272, los nonohualcas teotlixcas tlacochcalcas tecpantlacas salieron de Huehuetlapallan Nonohualco, comenzaron a venir caminando hacia acá, atravesando cactales, magueyales, cañaverales, herbazales, zacatales, llanos, cerros y barrancas.","Yn ihcuac yn yn ompa ohualquizque Huehuetlapallan Nonohualco yn nonohualca teotlixca tlacochcalca tecpantlaca yn ipan in omoteneuh Ce Tecpatl xihuitl, 1272 años, yc niman ohualnenenque yn tzihuactla necuametla xihuallacatla cuillotla çacatla yxtlahuacan tepetla atlauhtla.",Memorial Breve (Libro las ocho relaciones),es,nah,72
